"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"620516",1060,3314,796,698,486,85,14,8.18584905660377,29,29,1526,3314,3314,3146,3281,3314,3314,3314,3314,3314,3314,3314,522,1380,44,4,3173,3157,1253,3314,3314,3314,3314,3314,1269,296,49,3314,3314,0,0,0,0,0,570,0,6,366,366,0,0,0,0,0,0,0,0,0,0,0,21,0,844,1130,0,0,0,0,0,0,"62"
"620601",1795,5796,1858,1648,842,58,61,7.97493036211699,35,22,2798,5796,5796,5485,5774,5796,5796,5796,5796,5796,5796,5796,983,2569,83,25,5584,5566,2354,5796,5794,5796,5796,5796,2365,244,184,5796,5796,0,0,0,109,767,77,6,0,0,0,549,136,1303,0,0,246,0,0,100,8,29,0,68,1861,1934,0,0,0,0,1,0,"62"
"620602",960,3239,1350,1065,582,56,33,8.02291666666667,72,40,1642,3239,3239,3138,3233,3239,3239,3239,3239,3239,3239,3239,525,1498,44,0,3027,2973,1485,3239,3239,3239,3239,3239,1491,194,68,3239,3239,0,0,0,6,215,19,4,2,0,2,134,34,4,5,0,312,4,0,84,48,94,0,190,1338,1410,0,0,0,0,0,3,"62"
"620603",2082,7200,2569,2172,1230,74,115,7.7209414024976,38,27,3437,7200,7200,7039,7197,7200,7200,7200,7200,7200,7200,7200,1119,3129,3,0,6898,6878,3421,7200,7198,7198,7198,7198,3423,289,399,7190,7190,0,0,13,90,381,0,42,25,19,31,1445,4,543,3,10,416,0,0,93,17,3,25,2224,2408,2922,25,0,0,0,0,0,"62"
"620604",1698,5360,2301,1965,991,66,110,7.51118963486455,109,92,2458,5360,5360,5251,5337,5360,5360,5360,5360,5360,5360,5360,738,2355,6,4,4982,4920,2482,5360,5360,5360,5360,5360,2499,234,369,5360,5360,0,0,0,0,0,0,229,0,0,0,2,0,7,3,0,283,0,0,4,0,12,4,70,1937,2510,49,0,0,0,0,0,"62"
"620605",1127,3970,1456,1144,711,64,12,8.01774622892635,122,61,2209,3970,3970,3847,3960,3970,3970,3970,3967,3970,3970,3970,691,1977,25,12,3744,3715,1908,3970,3970,3970,3970,3970,1908,253,43,3970,3970,0,0,0,123,389,1212,11,10,12,8,1164,235,94,0,0,516,6,0,38,0,0,17,75,1962,1930,0,0,0,0,0,0,"62"
"620606",1966,6222,1855,1531,1008,102,156,7.50813835198372,171,131,2950,6222,6222,5916,6205,6222,6222,6222,6222,6222,6222,6222,1013,2618,9,0,5840,5783,2518,6222,6216,6222,6222,6222,2534,383,469,6222,6222,0,0,0,0,5,0,12,0,0,0,11,38,3,0,0,335,0,0,25,22,387,2,28,1867,2290,0,0,0,0,0,0,"62"
"620607",1127,3759,1234,921,629,59,215,8.38154392191659,89,55,1714,3759,3759,3520,3754,3759,3759,3759,3759,3759,3759,3759,530,1479,31,13,3599,3576,1631,3759,3759,3759,3759,3759,1639,228,648,3759,3759,0,0,0,1,40,85,23,0,0,0,40,5,13,0,0,208,4,0,57,129,338,0,78,1453,1718,0,0,0,0,2,0,"62"
"620608",1315,4021,1292,1157,806,53,36,8.27908745247148,59,46,1789,4021,4021,3891,4009,4021,4021,4021,4021,4021,4021,4021,528,1629,17,2,3713,3655,1912,4021,3924,4021,4021,4021,1916,198,110,4021,4021,0,0,0,6,584,356,1,0,0,0,14,0,1799,7,0,342,0,0,60,46,54,4,148,1534,1550,0,0,0,0,0,0,"62"
"620609",1147,3477,1076,872,566,30,26,8.05841325196164,27,18,1450,3477,3477,3320,3462,3477,3477,3477,3477,3477,3477,3477,531,1264,19,0,3284,3248,1397,3477,3473,3477,3477,3477,1406,104,67,3477,3477,0,0,0,0,11,470,0,0,0,0,25,0,67,3,0,257,0,0,9,16,37,0,82,1120,1318,0,0,0,0,0,0,"62"
