"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
33,7070,26450,10648,8940,0,8940,0,0,0,0.930760381257776,0,6,0,1337,1437,502,151,471,475,429,8291,325,954,60,8,514,20,0,432,662,506,244,2154,4113,4415,231,12,9,2,48,495
34,2948,9406,3877,3116,0,3116,0,0,0,0.26794459153498,0,4,0,300,163,102,11,145,101,116,2935,100,1219,30,1,263,10,0,44,116,125,6,325,1134,957,41,0,6,0,18,184
35,783,2526,758,612,0,612,0,0,0,0.154623156586264,0,0,0,70,67,62,8,48,6,8,567,16,128,2,0,23,0,0,14,28,26,17,165,221,212,9,1,0,1,23,43
36,6977,22704,7633,6117,0,6117,0,0,0,0.766755622185147,1,1,1,918,911,849,35,252,154,81,5870,327,319,24,4,319,1,1,208,130,355,54,1052,2503,2675,220,5,1,5,44,220
37,899,3074,1278,1025,0,1025,0,0,0,0.414724541982262,0,0,0,52,114,48,2,30,4,2,991,1,80,0,0,31,0,0,13,35,19,19,252,711,390,2,0,3,0,2,7
38,410,1380,454,410,0,410,0,0,0,0.140823301104261,0,0,0,105,73,75,7,65,8,4,355,11,101,4,0,52,2,0,8,22,49,23,96,171,208,29,0,0,0,7,27
39,138,491,154,140,0,140,0,0,0,0.0410261219179126,0,0,0,1,20,0,2,25,0,0,118,27,10,0,0,0,0,0,0,5,1,9,14,49,72,1,0,0,0,1,8
40,5368,19248,6153,4901,0,4901,0,0,0,0.429636032270479,0,0,0,530,656,825,66,384,100,48,4644,202,543,158,0,338,2,0,29,133,360,75,294,2320,2404,80,8,0,3,45,493
41,2868,9359,3457,2733,0,2733,0,0,0,0.268129655846316,0,0,0,649,687,765,62,168,37,60,2560,315,580,13,0,92,7,0,55,171,248,87,377,1366,1359,121,4,1,0,24,113
42,4163,11105,3937,3109,0,3109,0,0,0,0.698590460611317,0,0,6,397,271,96,68,1055,291,260,1937,180,313,58,0,150,5,0,49,51,143,21,444,906,832,99,10,72,40,82,185
