"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"3407111701",168,585,270,236,70,3,1,8.98214285714286,31,22,381,585,585,572,585,585,585,585,585,585,585,585,117,318,10,0,571,568,247,585,585,585,585,585,247,7,3,585,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,"34"
"3407111801",96,331,170,138,42,1,3,8.97916666666667,22,22,165,331,331,319,331,331,331,331,331,331,331,331,59,130,20,0,316,316,127,331,331,331,331,331,127,3,13,331,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,"34"
"3407120101",194,554,266,218,127,3,7,8.07731958762887,19,19,289,554,554,521,554,554,554,554,554,554,554,554,93,238,3,0,498,486,282,554,554,554,554,554,282,7,21,554,554,0,0,0,0,6,0,0,0,0,0,13,0,17,0,0,26,0,0,7,0,3,0,32,89,138,0,0,0,0,0,0,"34"
"3407120201",179,583,277,224,109,11,11,8.37430167597765,24,20,241,583,583,555,579,583,583,583,583,583,583,583,58,211,0,0,559,538,271,583,583,583,583,583,281,40,42,583,583,0,0,0,0,7,2,9,0,0,0,11,3,0,0,0,18,0,0,0,0,2,0,204,170,229,0,0,0,0,0,0,"34"
"3407120301",212,711,369,327,101,6,0,8.83490566037736,15,11,344,711,711,682,711,711,711,711,711,711,711,711,100,345,24,0,685,683,261,711,711,711,711,711,261,23,0,711,711,0,0,0,5,7,0,0,0,0,0,12,5,8,0,0,36,0,0,9,7,0,0,71,154,216,0,0,0,0,0,0,"34"
"3407120401",138,455,215,148,92,1,0,7.94927536231884,0,0,235,455,455,446,455,455,455,455,455,455,455,455,111,219,0,0,422,422,222,455,455,455,455,455,222,5,0,455,455,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,0,0,0,4,5,0,129,99,85,0,0,0,0,0,0,"34"
"3407120501",83,336,164,138,63,2,1,8.25301204819277,15,5,230,336,336,334,329,336,336,336,336,336,336,336,70,200,0,0,320,320,187,336,336,336,336,336,187,10,3,336,336,0,0,0,10,51,0,0,0,0,0,33,0,5,0,0,42,0,0,0,0,0,0,102,154,202,0,0,0,0,0,0,"34"
"3407120601",123,448,190,171,55,6,5,8.13821138211382,22,22,224,448,448,436,446,448,448,448,448,448,448,448,48,218,5,0,437,437,172,448,448,448,448,448,172,16,19,448,448,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,39,216,237,0,0,0,0,0,0,"34"
"3407120701",121,376,168,153,73,0,0,9.5702479338843,6,6,146,376,376,368,376,376,376,376,376,376,376,376,65,142,0,0,357,357,195,376,376,376,376,376,195,0,0,376,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,120,0,0,0,0,0,0,0,0,"34"
"3407120801",124,386,177,151,37,4,3,8.88709677419355,24,13,220,386,386,373,379,386,386,386,386,386,386,386,61,195,0,0,378,375,90,386,386,386,386,386,90,10,5,386,386,0,0,0,0,36,8,0,0,0,0,22,13,2,0,0,30,0,0,3,0,0,0,104,37,171,0,0,0,0,0,0,"34"
